TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20010101,20010107,-16.285,0.0,52.6595,11.325,0.0,225.645,0.0,0.681,0.0,97.83,0.0,0.467,0.0,1.564,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,41.1235,0.0,-9999,-9999,46.8063,0.0,-9999,-9999,0.301051,0.0,-9999,0.204362,0.259002,0.301051,0.0,0.0,0.0,0.833638,0.759905,0.860982,0.968192,0.544643,0.521297,0.593586,0.678974,2.23779,1.5188,2.19712,2.43984,0.618084,0.495397,0.682881,0.786161,-9999,-9999
20010108,20010114,-14.433,0.0,58.6443,22.196,0.0,209.439,0.0,0.66,0.0,98.189,0.0,0.012,0.0,1.573,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,40.8804,0.0,-9999,-9999,45.8862,0.0,-9999,-9999,0.321501,0.0,-9999,0.253933,0.303362,0.321501,0.0,0.0,0.0,1.00043,0.918966,1.03041,1.14683,0.697066,0.642048,0.726305,0.838033,2.47339,1.6787,2.42844,2.69672,1.06375,0.870699,1.21434,1.37768,-9999,-9999
20010115,20010121,-14.64,0.0,67.309,21.845,0.0,214.568,0.0,0.713,0.0,98.452,0.0,0.19,0.0,1.918,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,39.8744,0.0,-9999,-9999,42.6709,0.0,-9999,-9999,0.309379,0.0,-9999,0.217184,0.26747,0.309379,0.0,0.0,0.0,1.02149,0.944606,1.04977,1.15959,0.724193,0.699397,0.77135,0.862257,2.43369,1.65176,2.38946,2.65343,1.00871,0.828464,1.15811,1.31016,-9999,-9999
20010122,20010128,-13.934,0.0,78.7036,28.764,0.0,206.431,0.0,0.796,0.0,98.03,0.0,0.15,0.0,2.184,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,41.1235,0.0,-9999,-9999,46.8063,0.0,-9999,-9999,0.301051,0.0,-9999,0.204362,0.259002,0.301051,0.0,0.0,0.0,1.05446,0.972367,1.08462,1.20156,0.765463,0.73603,0.809517,0.912847,2.5309,1.71773,2.4849,2.75942,1.26952,1.05019,1.47394,1.65913,-9999,-9999
20010129,20010204,-19.168,0.0,92.8198,31.143,0.0,208.78,0.0,0.696,0.0,98.191,0.0,0.539,0.0,2.038,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,40.8804,0.0,-9999,-9999,45.8862,0.0,-9999,-9999,0.321501,0.0,-9999,0.253933,0.303362,0.321501,0.0,0.0,0.0,0.61255,0.550459,0.635793,0.727992,0.309188,0.269294,0.331691,0.416673,1.87921,1.27543,1.84505,2.04889,1.30283,1.08364,1.52617,1.71057,-9999,-9999
20010205,20010211,-24.174,0.0,109.569,49.35,0.0,168.072,0.0,0.631,0.0,99.334,0.0,0.066,0.0,1.347,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,39.8744,0.0,-9999,-9999,42.6709,0.0,-9999,-9999,0.309379,0.0,-9999,0.217184,0.26747,0.309379,0.0,0.0,0.0,0.297097,0.258591,0.311849,0.376196,-0.000203863,-0.000203863,0.0372408,0.0705989,1.25051,0.848727,1.22778,1.36342,1.8599,1.56956,2.22901,2.47252,-9999,-9999
20010212,20010218,-19.929,0.0,128.775,57.369,0.0,182.824,0.0,0.715,0.0,98.497,0.0,0.171,0.0,1.936,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,41.1235,0.0,-9999,-9999,46.8063,0.0,-9999,-9999,0.301051,0.0,-9999,0.204362,0.259002,0.301051,0.0,0.0,0.0,0.531084,0.472167,0.553276,0.6458,0.24209,0.225515,0.290786,0.350822,1.77918,1.20754,1.74685,1.93983,2.05456,1.74278,2.48294,2.74329,-9999,-9999
20010219,20010225,-23.144,0.0,150.177,75.449,0.0,160.559,0.0,0.683,0.0,98.565,0.0,0.063,0.0,1.774,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,40.8804,0.0,-9999,-9999,45.8862,0.0,-9999,-9999,0.321501,0.0,-9999,0.253933,0.303362,0.321501,0.0,0.0,0.0,0.320046,0.276647,0.336677,0.409713,0.0166837,-0.00642982,0.0423566,0.0906857,1.3713,0.930707,1.34637,1.49512,2.47562,2.12713,3.04213,3.33513,-9999,-9999
20010226,20010304,-13.425,0.0,173.449,79.234,0.0,209.991,0.0,0.947,0.0,98.314,0.0,0.275,0.0,1.544,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,39.8744,0.0,-9999,-9999,42.6709,0.0,-9999,-9999,0.309379,0.0,-9999,0.217184,0.26747,0.309379,0.0,0.0,0.0,1.14861,1.0688,1.17782,1.28583,0.851305,0.824629,0.895181,0.993326,2.57981,1.75093,2.53292,2.81274,2.51781,2.1673,3.10042,3.39495,-9999,-9999
20010305,20010311,-8.413,0.0,198.213,77.251,0.0,231.33,0.0,1.183,0.0,98.453,0.0,0.408,0.0,1.688,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,41.1235,0.0,-9999,-9999,46.8063,0.0,-9999,-9999,0.301051,0.0,-9999,0.204362,0.259002,0.301051,0.0,0.0,0.0,1.65316,1.56292,1.65999,1.77818,1.36416,1.33063,1.40876,1.52075,3.17257,2.15324,3.11491,3.45902,2.44157,2.09643,2.9985,3.28681,-9999,-9999
