TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20020101,-12.373,0.0,50.7911,13.344,0.0,213.716,0.0,0.821,0.0,99.323,0.0,0.0,0.0,1.536,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.04747,0.0,-9999,-9999,-9999,-9999,4.96393,0.0,-9999,-9999,-9999,-9999,0.320988,0.0,-9999,0.313038,0.319421,0.320988,0.0,0.0,0.0,0.125281,0.123142,0.123297,0.125281,-0.19769,-0.19769,-0.196123,-0.187756,0.239989,0.239989,0.23999,0.23999,0.0374218,0.0365519,0.0374218,0.0374224,-9999,-9999
20020102,-18.959,0.0,51.3259,18.484,0.0,186.789,0.0,0.739,0.0,98.721,0.0,0.023,0.0,0.731,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.29259,0.0,-9999,-9999,-9999,-9999,2.6877,0.0,-9999,-9999,-9999,-9999,0.306387,0.0,-9999,0.298437,0.302147,0.306387,0.0,0.0,0.0,0.0326158,0.0314972,0.0315369,0.0326158,-0.27485,-0.27485,-0.27061,-0.265821,0.167165,0.167165,0.167166,0.167166,0.0435955,0.0429796,0.0435955,0.0435962,-9999,-9999
20020103,-19.5,0.0,51.9132,10.605,0.0,221.296,0.0,0.765,0.0,97.541,0.0,0.0,0.0,0.745,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,2.67906,0.0,-9999,-9999,-9999,-9999,-0.699476,0.0,-9999,-9999,-9999,-9999,0.352642,0.0,-9999,0.348402,0.34865,0.352642,0.0,0.0,0.0,0.0290579,0.0280364,0.0280717,0.0290579,-0.32457,-0.32457,-0.32033,-0.319592,0.160964,0.160964,0.160965,0.160965,0.0325105,0.0315659,0.0325105,0.032511,-9999,-9999
20020104,-12.511,0.0,52.5533,9.78,0.0,245.291,0.0,0.934,0.0,97.26,0.0,0.099,0.0,1.194,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.04747,0.0,-9999,-9999,-9999,-9999,4.96393,0.0,-9999,-9999,-9999,-9999,0.320988,0.0,-9999,0.313038,0.319421,0.320988,0.0,0.0,0.0,0.121006,0.118854,0.119004,0.121006,-0.201984,-0.201984,-0.200417,-0.192031,0.238616,0.238616,0.238618,0.238618,0.0311476,0.0301772,0.0311476,0.0311481,-9999,-9999
20020105,-16.124,0.0,53.2465,12.52,0.0,201.22,0.0,0.873,0.0,98.221,0.0,0.091,0.0,1.569,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.29259,0.0,-9999,-9999,-9999,-9999,2.6877,0.0,-9999,-9999,-9999,-9999,0.306387,0.0,-9999,0.298437,0.302147,0.306387,0.0,0.0,0.0,0.0599767,0.0583344,0.0584081,0.0599767,-0.247979,-0.247979,-0.243739,-0.23846,0.199254,0.199254,0.199255,0.199255,0.0363121,0.035399,0.0363121,0.0363127,-9999,-9999
20020106,-12.355,0.0,53.9931,17.22,0.0,212.501,0.0,1.069,0.0,97.588,0.0,0.0,0.0,1.937,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,2.67906,0.0,-9999,-9999,-9999,-9999,-0.699476,0.0,-9999,-9999,-9999,-9999,0.352642,0.0,-9999,0.348402,0.34865,0.352642,0.0,0.0,0.0,0.149112,0.14739,0.147576,0.149112,-0.205066,-0.205066,-0.200826,-0.199538,0.238655,0.238655,0.238656,0.238656,0.0430435,0.0423238,0.0430435,0.0430442,-9999,-9999
20020107,-3.454,0.0,54.7933,17.188,0.0,256.947,0.0,1.134,0.0,96.098,0.0,0.028,0.0,1.296,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.04747,0.0,-9999,-9999,-9999,-9999,4.96393,0.0,-9999,-9999,-9999,-9999,0.320988,0.0,-9999,0.313038,0.319421,0.320988,0.0,0.0,0.0,0.420769,0.420611,0.420769,0.421141,0.100153,0.100153,0.10172,0.107731,0.327723,0.327723,0.327725,0.327725,0.0426582,0.0419588,0.0426582,0.0426588,-9999,-9999
20020108,-2.03,0.0,55.6474,19.148,0.0,266.522,0.0,1.01,0.0,95.626,0.0,0.05,0.0,1.044,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.29259,0.0,-9999,-9999,-9999,-9999,2.6877,0.0,-9999,-9999,-9999,-9999,0.306387,0.0,-9999,0.298437,0.302147,0.306387,0.0,0.0,0.0,0.485803,0.485803,0.486536,0.48715,0.180763,0.180763,0.185003,0.187367,0.340599,0.340599,0.340601,0.340601,0.0448301,0.0442291,0.0448301,0.0448307,-9999,-9999
20020109,-5.136,0.0,56.5555,8.015,0.0,272.435,0.0,1.085,0.0,97.072,0.0,0.374,0.0,1.422,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,2.67906,0.0,-9999,-9999,-9999,-9999,-0.699476,0.0,-9999,-9999,-9999,-9999,0.352642,0.0,-9999,0.348402,0.34865,0.352642,0.0,0.0,0.0,0.348054,0.346996,0.347434,0.348054,-0.00520799,-0.00520799,-0.000968067,-0.000595784,0.31227,0.31227,0.312272,0.312272,0.0277982,0.026766,0.0277982,0.0277987,-9999,-9999
20020110,-5.775,0.0,57.5178,16.354,0.0,259.751,0.0,0.952,0.0,97.69,0.0,0.095,0.0,1.232,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.04747,0.0,-9999,-9999,-9999,-9999,4.96393,0.0,-9999,-9999,-9999,-9999,0.320988,0.0,-9999,0.313038,0.319421,0.320988,0.0,0.0,0.0,0.321039,0.319662,0.320065,0.321039,-0.000923445,-0.000923445,0.000643605,0.00800109,0.306354,0.306354,0.306356,0.306356,0.0420791,0.0413073,0.0420791,0.0420797,-9999,-9999
20020111,-5.718,0.0,58.5345,6.896,0.0,258.924,0.0,1.196,0.0,97.512,0.0,0.519,0.0,1.388,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.29259,0.0,-9999,-9999,-9999,-9999,2.6877,0.0,-9999,-9999,-9999,-9999,0.306387,0.0,-9999,0.298437,0.302147,0.306387,0.0,0.0,0.0,0.328852,0.327688,0.328101,0.328852,0.0217146,0.0217146,0.0259545,0.0304157,0.306542,0.306542,0.306543,0.306543,0.0244861,0.0235095,0.0244861,0.0244865,-9999,-9999
