ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2002
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2003
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2004
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2005
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2002
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2003
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2004
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2005
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.111923,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.08875,2002
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.105091,2003
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.111923,2004
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.126,2005
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,63.75,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.1222,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,38.75,2002
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.086,2002
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,38.75,2003
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0976,2003
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,38.75,2004
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.101889,2004
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,38.75,2005
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.117111,2005
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,36.25,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.101111,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,36.25,2002
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.0843701,2002
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,36.25,2003
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.0939167,2003
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,36.25,2004
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.101111,2004
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,36.25,2005
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.115,2005
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,36.25,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.101111,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,36.25,2002
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.0843701,2002
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,36.25,2003
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.0939167,2003
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,36.25,2004
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.101111,2004
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,36.25,2005
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.115,2005
