TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20010101,20010107,-15.879,0.0,52.628,12.606,0.0,225.645,0.0,0.241,0.0,97.83,0.0,0.646,0.0,1.905,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.6417,0.0,-9999,-9999,0.979322,0.0,-9999,-9999,0.822629,0.0,-9999,0.819745,0.822849,0.827462,0.0,0.0,0.0,0.336167,0.327708,0.355491,0.389062,-0.482584,-0.495649,-0.458123,-0.436583,0.437397,0.377593,0.412098,0.437543,0.145418,0.136156,0.143488,0.145418,-9999,-9999
20010108,20010114,-13.866,0.0,58.6121,24.708,0.0,209.439,0.0,0.21,0.0,98.189,0.0,0.016,0.0,1.916,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.2936,0.0,-9999,-9999,1.57408,0.0,-9999,-9999,0.820198,0.0,-9999,0.817484,0.820418,0.825202,0.0,0.0,0.0,0.410489,0.401162,0.431891,0.467966,-0.405446,-0.419764,-0.378224,-0.355247,0.517933,0.447994,0.48992,0.518106,0.263735,0.249729,0.260828,0.265726,-9999,-9999
20010115,20010121,-14.09,0.0,67.2759,24.317,0.0,214.568,0.0,0.287,0.0,98.452,0.0,0.262,0.0,2.336,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.2566,0.0,-9999,-9999,1.7353,0.0,-9999,-9999,0.820542,0.0,-9999,0.818254,0.821269,0.827882,0.0,0.0,0.0,0.423378,0.414803,0.443305,0.47624,-0.393244,-0.406467,-0.372927,-0.348825,0.521251,0.451432,0.494666,0.521425,0.25268,0.23998,0.250041,0.255255,-9999,-9999
20010122,20010128,-13.323,0.0,78.6696,32.007,0.0,206.431,0.0,0.405,0.0,98.03,0.0,0.207,0.0,2.66,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.6417,0.0,-9999,-9999,0.979322,0.0,-9999,-9999,0.822629,0.0,-9999,0.819745,0.822849,0.827462,0.0,0.0,0.0,0.435524,0.426217,0.457001,0.492749,-0.382854,-0.39714,-0.355602,-0.332895,0.541664,0.468896,0.51342,0.541844,0.323675,0.308594,0.320827,0.328081,-9999,-9999
20010129,20010204,-19.013,0.0,92.785,34.667,0.0,208.78,0.0,0.262,0.0,98.191,0.0,0.745,0.0,2.482,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.2936,0.0,-9999,-9999,1.57408,0.0,-9999,-9999,0.820198,0.0,-9999,0.817484,0.820418,0.825202,0.0,0.0,0.0,0.23968,0.232515,0.255902,0.285188,-0.577223,-0.58841,-0.557586,-0.538782,0.329272,0.283332,0.312122,0.329381,0.337602,0.323224,0.33599,0.343453,-9999,-9999
20010205,20010211,-24.454,0.0,109.534,54.934,0.0,168.072,0.0,0.169,0.0,99.334,0.0,0.092,0.0,1.64,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.2566,0.0,-9999,-9999,1.7353,0.0,-9999,-9999,0.820542,0.0,-9999,0.818254,0.821269,0.827882,0.0,0.0,0.0,0.107348,0.103029,0.117084,0.135917,-0.711191,-0.719843,-0.711191,-0.695737,0.166848,0.142491,0.161447,0.166904,0.500475,0.483288,0.498449,0.512988,-9999,-9999
20010212,20010218,-19.84,0.0,128.739,63.861,0.0,182.824,0.0,0.289,0.0,98.497,0.0,0.237,0.0,2.358,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.6417,0.0,-9999,-9999,0.979322,0.0,-9999,-9999,0.822629,0.0,-9999,0.819745,0.822849,0.827462,0.0,0.0,0.0,0.202851,0.196039,0.218212,0.246618,-0.616637,-0.627318,-0.597959,-0.579026,0.29054,0.2494,0.277862,0.290636,0.560771,0.543642,0.558683,0.576764,-9999,-9999
20010219,20010225,-23.335,0.0,150.141,83.987,0.0,160.559,0.0,0.244,0.0,98.565,0.0,0.087,0.0,2.16,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.2936,0.0,-9999,-9999,1.57408,0.0,-9999,-9999,0.820198,0.0,-9999,0.817484,0.820418,0.825202,0.0,0.0,0.0,0.113893,0.108969,0.124956,0.146521,-0.70402,-0.713782,-0.694002,-0.677054,0.182048,0.155272,0.176076,0.182108,0.695061,0.678526,0.692877,0.719239,-9999,-9999
20010226,20010304,-12.77,0.0,173.413,88.201,0.0,209.991,0.0,0.623,0.0,98.314,0.0,0.38,0.0,1.88,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.2566,0.0,-9999,-9999,1.7353,0.0,-9999,-9999,0.820542,0.0,-9999,0.818254,0.821269,0.827882,0.0,0.0,0.0,0.48168,0.472911,0.502255,0.535285,-0.334862,-0.348359,-0.315903,-0.28978,0.578935,0.502121,0.551449,0.579128,0.709947,0.694455,0.707828,0.735925,-9999,-9999
20010305,20010311,-7.322,0.0,198.178,86.001,0.0,231.33,0.0,0.961,0.0,98.453,0.0,0.565,0.0,2.056,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.6417,0.0,-9999,-9999,0.979322,0.0,-9999,-9999,0.822629,0.0,-9999,0.819745,0.822849,0.827462,0.0,0.0,0.0,0.71257,0.703277,0.735292,0.768143,-0.10584,-0.120079,-0.0806367,-0.0582892,0.806213,0.70183,0.775165,0.806482,0.686085,0.670995,0.684019,0.711068,-9999,-9999
20010312,20010318,-7.902,0.0,224.032,97.6,0.0,237.735,0.0,0.797,0.0,97.958,0.0,0.398,0.0,1.85,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.2936,0.0,-9999,-9999,1.57408,0.0,-9999,-9999,0.820198,0.0,-9999,0.817484,0.820418,0.825202,0.0,0.0,0.0,0.670277,0.660196,0.694376,0.730596,-0.145342,-0.160729,-0.121594,-0.0935053,0.774317,0.673299,0.742329,0.774575,0.768618,0.752905,0.766407,0.797714,-9999,-9999
20010319,20010325,-12.853,0.0,250.557,126.41,0.0,213.803,0.0,0.733,0.0,99.055,0.0,0.529,0.0,3.37,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.2566,0.0,-9999,-9999,1.7353,0.0,-9999,-9999,0.820542,0.0,-9999,0.818254,0.821269,0.827882,0.0,0.0,0.0,0.470306,0.461672,0.490604,0.523498,-0.34629,-0.359598,-0.326779,-0.301567,0.567654,0.49216,0.540221,0.567843,0.909486,0.898832,0.907543,0.95133,-9999,-9999
20010326,20010401,-5.017,0.0,277.34,129.045,0.0,246.983,0.0,1.352,0.0,98.278,0.0,0.324,0.0,2.053,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.6417,0.0,-9999,-9999,0.979322,0.0,-9999,-9999,0.822629,0.0,-9999,0.819745,0.822849,0.827462,0.0,0.0,0.0,0.826799,0.818002,0.849071,0.878968,0.00815743,-0.00535488,0.0323373,0.0522545,0.910246,0.793686,0.878829,0.910549,0.973044,0.958516,0.970708,1.01485,-9999,-9999
20010402,20010408,1.109,0.0,303.976,164.914,0.0,253.232,0.0,2.557,0.0,98.538,0.0,0.245,0.0,1.618,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.2936,0.0,-9999,-9999,1.57408,0.0,-9999,-9999,0.820198,0.0,-9999,0.817484,0.820418,0.825202,0.0,0.0,0.0,1.14021,1.13358,1.15795,1.17785,0.322998,0.307797,0.322312,0.355019,1.18772,1.05906,1.15648,1.18811,1.11315,1.10264,1.11134,1.17067,-9999,-9999
20010409,20010415,-3.673,0.0,330.073,197.312,0.0,232.472,0.0,2.154,0.0,98.633,0.0,0.106,0.0,2.332,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.2566,0.0,-9999,-9999,1.7353,0.0,-9999,-9999,0.820542,0.0,-9999,0.818254,0.821269,0.827882,0.0,0.0,0.0,0.89128,0.882905,0.913866,0.940406,0.074534,0.0600037,0.080323,0.114458,0.968007,0.844716,0.936474,0.96833,1.27844,1.26832,1.27737,1.34946,-9999,-9999
20010416,20010422,-0.654,0.0,355.253,222.17,0.0,228.362,0.0,3.707,0.0,98.637,0.0,0.343,0.0,2.453,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.6417,0.0,-9999,-9999,0.979322,0.0,-9999,-9999,0.822629,0.0,-9999,0.819745,0.822849,0.827462,0.0,0.0,0.0,1.05574,1.04932,1.07312,1.09295,0.236018,0.221273,0.236018,0.267688,1.10567,0.985018,1.07542,1.10604,1.35769,1.34889,1.35769,1.43843,-9999,-9999
20010423,20010429,7.525,0.0,379.148,222.762,0.0,270.419,0.0,5.815,0.0,97.672,0.0,0.326,0.0,2.841,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.2936,0.0,-9999,-9999,1.57408,0.0,-9999,-9999,0.820198,0.0,-9999,0.817484,0.820418,0.825202,0.0,0.0,0.0,1.49759,1.49657,1.50013,1.50728,0.677732,0.672251,0.677653,0.696201,1.47214,1.43733,1.47046,1.48717,1.40329,1.39318,1.40312,1.48386,-9999,-9999
20010430,20010506,9.838,0.0,401.401,208.031,0.0,287.719,0.0,6.737,0.0,97.718,0.0,0.289,0.0,3.142,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.2566,0.0,-9999,-9999,1.7353,0.0,-9999,-9999,0.820542,0.0,-9999,0.818254,0.821269,0.827882,0.0,0.0,0.0,1.62575,1.61937,1.62474,1.63229,0.804682,0.788182,0.804682,0.841321,1.57579,1.542,1.57579,1.63752,1.3094,1.29965,1.30926,1.38383,-9999,-9999
20010507,20010513,6.635,0.0,421.661,223.056,0.0,271.918,0.0,4.784,0.0,98.125,0.0,1.415,0.0,2.597,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.6417,0.0,-9999,-9999,0.979322,0.0,-9999,-9999,0.822629,0.0,-9999,0.819745,0.822849,0.827462,0.0,0.0,0.0,1.44676,1.44687,1.45481,1.45849,0.62504,0.620586,0.628871,0.634783,1.43547,1.3631,1.42062,1.43594,1.37347,1.36425,1.37347,1.45412,-9999,-9999
20010514,20010520,9.649,0.0,439.582,143.74,0.0,311.417,0.0,4.295,0.0,96.807,0.0,3.25,0.0,2.913,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.2936,0.0,-9999,-9999,1.57408,0.0,-9999,-9999,0.820198,0.0,-9999,0.817484,0.820418,0.825202,0.0,0.0,0.0,1.61537,1.61285,1.61499,1.62328,0.794978,0.784983,0.794933,0.825355,1.57242,1.53783,1.57242,1.61695,1.05806,1.04215,1.05549,1.10339,-9999,-9999
20010521,20010527,12.172,0.0,454.834,242.289,0.0,297.256,0.0,6.89,0.0,98.57,0.0,0.697,0.0,2.432,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.2566,0.0,-9999,-9999,1.7353,0.0,-9999,-9999,0.820542,0.0,-9999,0.818254,0.821269,0.827882,0.0,0.0,0.0,1.75571,1.73677,1.75279,1.76041,0.933654,0.909246,0.933654,0.967068,1.67867,1.64623,1.67867,1.79348,1.48464,1.4745,1.48457,1.57141,-9999,-9999
20010528,20010603,13.343,0.0,467.108,305.562,0.0,276.252,0.0,9.53,0.0,98.568,0.0,0.033,0.0,2.472,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.6417,0.0,-9999,-9999,0.979322,0.0,-9999,-9999,0.822629,0.0,-9999,0.819745,0.822849,0.827462,0.0,0.0,0.0,1.82168,1.79606,1.81444,1.828,0.997005,0.970412,0.997005,1.02788,1.73037,1.6987,1.73037,1.87336,1.75718,1.7475,1.75847,1.87017,-9999,-9999
20010604,20010610,17.24,0.0,476.13,282.732,0.0,309.293,0.0,10.5,0.0,98.317,0.0,0.478,0.0,1.674,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.2936,0.0,-9999,-9999,1.57408,0.0,-9999,-9999,0.820198,0.0,-9999,0.817484,0.820418,0.825202,0.0,0.0,0.0,2.03643,1.98501,2.01227,2.04919,1.21211,1.1618,1.21211,1.24083,1.89187,1.86365,1.89204,2.14683,1.69638,1.68652,1.6965,1.80014,-9999,-9999
20010611,20010617,13.066,0.0,481.684,215.091,0.0,306.821,0.0,7.05,0.0,97.807,0.0,1.035,0.0,2.676,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,10.2566,0.0,-9999,-9999,1.7353,0.0,-9999,-9999,0.820542,0.0,-9999,0.818254,0.821269,0.827882,0.0,0.0,0.0,1.80663,1.78323,1.80118,1.81238,0.984223,0.957025,0.984223,1.01461,1.71975,1.68774,1.71975,1.85306,1.46621,1.45209,1.46377,1.54123,-9999,-9999
